MC,,1,"Frederic used to own the only pizza place in town—until a new place opened up. Even though Frederic's never been to the new pizza place, he tells everyone he meets that the new place uses inferior ingredients and has been investigated by the health department. He even leaves negative reviews of the pizza place online. Which business tort do Frederic's actions fall under?",4,Wrongful interference,Unfair competition,Copyright infringement,Disparagement
MC,,1,"When entering into a contract with another business, an agent is the party that represents the",4,consultant.,defendant.,opposition.,principal.
MC,,1,The person who files a lawsuit is the,1,plaintiff.,defendant.,lawyer.,judge.
MC,,1,Why might parties choose to use mediation to solve a dispute?,1,To avoid going to court,To spend more money,To do less work,To get a less personal result
MC,,1,"Sasha's science teacher is explaining lab directions to the class. They'll be performing a complicated experiment with many steps that will take about a week. The next day, Sasha tries to remember a step of the directions, but she can't. Which step of following oral directions should Sasha have followed?",2,Eliminate distractions,Take notes,Make eye contact,Acknowledge directions verbally or nonverbally
MC,,1,"""This is an exciting new opportunity for you,"" says Jane's boss. Which of the following nonverbal cues would appropriately reinforce that message?",3,Focusing eyes on the computer,Slouching,Smiling,Looking out the window
MC,,1,"Jolie is working in a group in her business class. If she wants to contribute to her group's discussion in a meaningful way, what should she do?",1,Summarize what's been discussed in the conversation,Let someone know right away if his/her idea is bad or unrealistic,Wait for other people to lead the conversation when it gets silent,Ask questions as a way of judging someone else's suggestion
MC,,1,What are the three main purposes of oral presentations?,2,"To inform, inspire, and entertain","To inform, persuade, and entertain","To inform, persuade, and instruct","To interview, debate, and entertain"
MC,,1,Aaron prepared a detailed report for his supervisor that described several issues that Aaron's work group has been experiencing with a long-term project. Aaron described the most difficult or challenging issues in the beginning of the report and ended the report with the least important points. How did Aaron organize the information in the report?,1,Priority sequence,Alphabetical by category,Simple to complex,Chronological order
MC,,1,"Jacob is determining the writing style to use for an analytical report. If most readers are likely to support the report's content, Jacob should format the report for a(n) __________ audience.",1,receptive,indecisive,argumentative,intellectual
MC,,1,Which of the following is the last component of a research report:,1,Recommendations,Purpose of the study,Background information,Methodology
MC,,1,Phoebe is the manager of a small company. One of her employees has been showing up late and missing work frequently. What channel of communication should Phoebe use to discuss this issue with him?,3,A company-wide memo,An email message,Face-to-face conversation,A video conference
MC,,1,"When participating in a project-status meeting, it is important for a participant to",1,be prepared to provide an update.,monopolize the conversation.,provide information about new company policies.,take notes for the group.
MC,,1,"A customer asks Roger a question about a product, and he isn't sure of the correct answer. He immediately phones his supervisor to get the needed information. Which technique for building positive customer relations does this illustrate?",4,Be thankful.,Keep your promises.,Pay attention to internal customers.,Be helpful.
MC,,1,"Today, customer relationship management is considered an important tool in",2,commercial investing.,business decision-making.,hiring new employees.,establishing connections with vendors.
MC,,1,Which of the following is an economic service:,4,Eyeglasses,Bottle of perfume,Baseball bat,Ticket to football game
MC,,1,Which of the following are examples of capital goods:,2,"Trucks, drum scanners, and minerals","Bull dozers, photocopiers, and roads","Tractors, laborers, and cranes","Refineries, iron ore, and computers"
MC,,1,One reason that businesses use a matrix organizational design is to,1,share human resources.,improve employee productivity.,segment areas of expertise.,standardize business tasks.
MC,,1,Which of the following is an example of a government regulation that affects a business's working conditions:,3,Zoning laws,Food inspection,Minimum wage,Price supports
MC,,1,Which of the following is an item that is subject to an excise tax:,3,Prescription medication,Carton of eggs,Ski boat,Business computer
MC,,1,A company is facing negative returns. Which stage of production is the company in?,2,Second,Third,Fourth,First
MC,,1,Which of the following is a true statement about gross domestic product (GDP):,1,Improved use of resources increases the GDP.,The underground economy overstates the GDP.,It is easy to measure the GDP accurately.,A decrease in GDP results in a higher standard of living.
MC,,1,Which of the following illustrates the impact of a country's history on world trade:,2,Countries with widely different religious beliefs have difficulty establishing trust.,Countries that have engaged in war conflicts have difficulty establishing trust.,Countries speaking different languages have difficulty understanding each other.,Countries that are adjacent to each other have more opportunities for conflict.
MC,,1,One good way to raise your level of self-esteem when it has dropped is to,1,discuss your feelings with someone you trust.,withdraw from activities for a while.,reanalyze all your past mistakes.,keep your feelings to yourself.
MC,,1,Workers can demonstrate their honesty and integrity by giving a fair amount of ___________ for their pay.,3,worry,concern,effort,loyalty
MC,,1,"For two hours a day, Jacob shuts his office door to prevent interruptions, does not check email, and does not accept incoming phone calls. This enables Jacob to focus on his most important tasks. What technique is Jacob using to help him manage his work commitments effectively?",3,Eliminating the use of technological tools,Delegating his workload,Controlling environmental distractions,Developing a detailed “to-do” list
MC,,1,How does having a sense of humor help you maintain a positive attitude?,4,It encourages you to give your appearance the attention it deserves.,"If you hang out with positive people, you'll be positive as well.",It is easier to maintain a positive attitude when you're healthy.,It keeps you from taking yourself too seriously.
MC,,1,"When people make you angry or upset, you may be able to maintain your self-control if you",4,frown to indicate your displeasure.,use language to vent your anger.,adopt a defensive attitude.,make an effort to remain calm.
MC,,1,Which of the following is an internal source of feedback:,2,Teachers,Yourself,Friends,Employers
MC,,1,Which of the following is an example of violating a coworker's privacy in the workplace:,3,Thomas changed the wording on Carrie's report with her approval.,"Ruby saw that her coworkers were having a serious discussion, so she walked away.","Joe needed a pen, so he opened Ali's desk drawer to look for one while she was away.",Paige sent a personal email from her work computer to her friend Alan.
MC,,1,Which of the following is a true statement about secondary dimensions of diversity:,4,They are mental aptitudes.,They are physical traits.,They are determined by a person's subculture.,They can change over time.
MC,,1,"During a staff meeting, Matthew says, ""In closing, I want to congratulate Shelby, who has been instrumental in landing the Feldman account. This account has the potential to greatly impact our company's sales."" Matthew is motivating an employee by",2,providing her with a monetary reward.,acknowledging her efforts.,giving her new job responsibilities.,supporting her ideas.
MC,,1,Frank has a good understanding of his own emotions. What component of emotional intelligence does Frank demonstrate?,4,Social management,Self-management,Social awareness,Self-awareness
MC,,1,Collaborative relationships with colleagues from other departments are beneficial to the business because they often,3,support highly competitive attitudes.,prevent workplace conflict.,generate innovative ideas.,facilitate independent behavior.
MC,,1,"John recently expanded his business into another country to reach more of his target market. He was initially thrilled with his company's profits following the expansion—until he converted the money back to his domestic currency. At that point, he realized that the company made much less than he originally thought. What risk involved with international business did John experience?",2,International trade agreement changes,Foreign exchange rate fluctuations,Political unrest in foreign countries,The cost of international unionized labor
MC,,1,Which of the following is a disadvantage of a checking account:,3,Overdraft protection,Direct payroll deposit,Account balance requirement,Online transaction options
MC,,1,"Justine's rich uncle wants to give her $5,000 toward the purchase of a car. But since Justine doesn't plan to buy the car for at least another year, her uncle told her that she can have the money now, or he can wait and give her the money when she actually buys the car. Justine chooses to take the money now and deposit it in her savings account. After all, her deposit will yield 6% interest compounded annually. A year from now, her $5,000 will be worth $5,300. What financial concept does this scenario illustrate?",1,Time-value of money,Dividend reinvestment plan,Capital budgeting,Accrual accounting
MC,,1,Incorrect information on an individual's credit report may hinder his/her ability to,4,earn interest on stock holdings.,withdraw money from a savings account.,pay monthly credit card balances.,obtain a bank loan.
MC,,1,How do businesses transfer risk?,4,Screen employees,Implement security measures,Check for hazards,Obtain insurance
MC,,1,Emma is reviewing the sales budget in relation to the actual sales generated for a set time frame. How is Emma using financial information in this situation?,1,To compare estimated performance with actual performance,To establish new quality standards and benchmarks,To identify external economic trends,To analyze the impact of aging accounts
MC,,1,"When preparing her company's budget, Tatiana's manager told her that the company would be merging with another company. To maintain her ethics, Tatiana should",4,report this information to the SEC.,make sure the merger benefits the public interest.,maintain her independence.,keep this information confidential.
MC,,1,Which of the following are listed as long-term assets on a balance sheet:,4,"Capital equipment, mortgage, and inventory","Land, cash, and mortgage","Vehicles, insurance, and accounts payable","Buildings, vehicles, and capital equipment"
MC,,1,"According to a company's most recent statement of cash flows, its cash flow from operations for the most recent year was $1,375,400. The net cash used by investing was an outlay of $690,000. The net cash spent on financing was $140,300. What was the company's free cash flow?",3,"$686,400","$549,700","$545,100","$830,300"
MC,,1,Which of the following business trends affects human resources management:,4,Lack of new technology,Costs of business going down,No restructuring,Globalization
MC,,1,Which of the following is an example of receiving tacit knowledge:,1,"""Shadowing"" a person in your desired career",Reading a history textbook,Listening to an instructor's lecture,Following a recipe
MC,,1,Bailey knows that she has more knowledge about digital marketing than anyone else on her team. She is reluctant to share her knowledge because she wants to give herself an advantage. This is an example of how,4,sharing knowledge builds stronger relationships.,it is impossible to get ahead in your career if you share knowledge.,knowledge management prevents unethical behavior.,self-interest can prevent effective knowledge management.
