MC,,1,Which of the following could be described as a legally binding contract:,1,"Matt agrees to purchase Jeromy's used car for $5,000.",Rachel volunteers to take her elderly neighbor to the grocery store.,Shania asks her mom if she can go to the mall with her friends.,Brandon's landlord provides free coffee and tea to residents.
MC,,1,Creditors are required to inform consumers about __________ before offering them a credit product.,2,their credit scores,fees and penalties,the state of the economy,the company's history
MC,,1,One of the most common reasons why a defendant may choose to settle a legal dispute out of court is to,4,earn the respect of a jury.,prove the defendant's innocence.,turn the ordeal into a public spectacle.,avoid the high costs of going to trial.
MC,,1,Which of the following steps in the civil litigation process typically comes first:,1,Pleadings,Discovery,Trial,Appeal
MC,,1,What should you do first when someone gives you a set of written instructions to follow?,1,Read the instructions in their entirety.,Comprehend what the instructions are telling you.,Reference the instructions when you get stuck.,Skim the instructions for a general overview.
MC,,1,"A staff meeting was held to discuss some problems the business was having. Management did not need to stress the seriousness of the problems, as it was conveyed in their voices. Which speech element was management using to convey its message?",1,Tone,Empathy,Tempo,Enunciation
MC,,1,Paul is responding to an inquiry he received in the mail. His response includes some good news and some bad news. How should he structure his response in light of the bad news?,3,Place the bad news in the post-script (P.S.) section of the response.,Place the bad news at the beginning and the good news in the closing paragraph.,Place the good news at the beginning and the bad news in secondary position(s).,Give more space to bad news than good news to emphasize urgency.
MC,,1,"An accounts receivable employee monitors delinquent accounts by placing them into three folders—30 days past due, 60 days past due, and 90 days past due. How has the employee organized the information?",4,Name,Invoice number,Location,Time
MC,,1,Which of the following message closings is the most appropriate to use for a businessperson who is sending formal email correspondence:,4,Affectionately,THX,Greetings,Regards
MC,,1,Mitchell is writing an email to a company asking for some information that he needs to complete a research project. What is the most effective way to close the message?,3,I wish you the best of luck.,I need this information ASAP.,I appreciate your help with this issue.,I apologize for the inconvenience.
MC,,1,"In a detailed document, Rachel explains the possible implications of implementing a cooperative advertising program for her employer's major customers. In this situation, Rachel developed a",4,request for proposal.,troubleshooting proposal.,sales analysis.,feasibility report.
MC,,1,Which of the following statements would be placed in the introductory section of a research report:,2,"Based on the previously stated findings, it is recommended that the XYZ Company revise its",The purpose of this study is to determine why sales have been decreasing for three consecutive,"The survey consisted of 250,600 respondents from the northern region of the country.",The statistics indicate that the business is losing up to 15% of its market share to new
MC,,1,Which type of communication is being used when a salesperson sends a message to the store manager?,3,Lateral,Downward,Upward,Diagonal
MC,,1,What might result if a business fails to maintain positive customer/client relations?,1,Decrease in sales,Reduction in assets,Loss of advertisers,Lowering of goals
MC,,1,Which of the following is a true statement regarding data integrity and security:,1,It can be helpful to hire a data security specialist.,Businesses are not allowed to sell customer information.,Data security programs are strictly monitored by the government.,All businesses have similar data security needs.
MC,,1,Items that are used to produce goods and services are,4,unlimited resources.,noneconomic resources.,competing wants.,economic resources.
MC,,1,"Which of the following are results, or outputs, of the production activities of a business:",1,Goods or services,Capital resources,Raw materials,Means of production
MC,,1,One of the biggest barriers that separates countries/regions is,4,brain drain.,technology.,methods of travel.,language.
MC,,1,"To develop new products that accommodate changing markets, a business should",4,review its profit margins on a continuous basis.,adopt a laissez-faire organizational structure.,develop licensing programs with business partners.,implement innovative management practices.
MC,,1,"Leonardo's is considering opening a second location in a nearby city. The owners are concerned with the competition they might face from a business that is not quite like theirs, but also competes for scarce consumer dollars. What form of competition are they facing?",1,Indirect,Price,Direct,Nonprice
MC,,1,Increased export trade might result in an increase in,2,sales taxes.,employment opportunities.,inflationary trends.,interest rates.
MC,,1,What is the difference between a visa and a passport?,2,A passport is a supplement to a visa.,A visa is a supplement to a passport.,Visas are for business; passports are for leisure.,Passports are for business; visas are for leisure.
MC,,1,Which of the following is an accurate way of describing someone with emotional intelligence:,3,A person who ignores his/her emotions,A person who becomes emotional very easily,A person who recognizes and manages emotions,A person who has a high IQ
MC,,1,You have just had an experience that greatly reduced your level of self-esteem. Which of the following is a constructive action to take:,4,Wish it hadn't happened.,Blame someone else for what happened.,Forget about it.,Analyze what happened.
MC,,1,Which of the following is a characteristic of self-confidence:,1,Willing to take positive risks,Having a suspicious attitude,Dismissing compliments,Criticizing others' ideas
MC,,1,"If you are considering the possible consequences of each decision you could make, you are",3,focusing on creativity.,staying calm.,assessing risk.,practicing mindfulness.
MC,,1,An example of a social change would be a change in,2,highway speed limits.,hair and clothing styles.,interest rates.,product-safety standards.
MC,,1,Which of the following is a basic belief that you must have so you can start to be assertive:,3,You should always respond to the needs of others.,You have the right to try to force your ideas on others.,"Your thoughts, feelings, ideas, and opinions are important.",Your needs come first in all situations.
MC,,1,"Your boss tells employees not to use their phones in front of customers, but s/he is constantly texting and checking social media. Your boss is ineffective at modeling ethical behavior because s/he isn't",2,providing feedback.,being consistent.,making ethics relevant to employees.,communicating clearly and openly.
MC,,1,Which of the following best describes what it means to have a vision:,4,Encouraging others to achieve their dreams,Setting clear objectives that you want to achieve,Being clear-minded and focused at all times,Having a mental picture of the ideal future
MC,,1,Sarah works in a large corporation and has daily contact with many different types of people from a variety of backgrounds. What is one technique that she can use in order to treat all of these people with respect?,4,Stereotype coworkers,Discuss controversial topics,React defensively,Use empathy and tact
MC,,1,Conflicting viewpoints at work can lead to,1,increased creativity.,heightened aggression.,more discrimination.,decreased productivity.
MC,,1,Integrity means acting with,2,humility.,honesty.,leadership skills.,a sense of humor.
MC,,1,Entrepreneurs who hold themselves to high moral standards from the very beginning,3,set the bar low for other companies.,are destined to go bankrupt.,set their businesses up for success.,are unlikely to make a profit.
MC,,1,Which of the following is a name for a medium of exchange accepted and backed by the government as payment for goods and services:,4,Certificates of deposit,Credit cards,Money market accounts,Currency
MC,,1,"By developing a personal budget, individuals will be able to review their",4,bank statements.,insurance policy coverage.,investment plans.,spending patterns.
MC,,1,Determining your personal net worth means finding out how much money you would have if you,1,sold all of your assets and paid off all your debts.,paid all of your debts and purchased more assets.,earned twice as much money as you made this year.,sold all of your assets and took on more debts.
MC,,1,Why should you pay your credit card bill in full each month?,2,"When you pay in full, annual fees don't apply.","When you pay in full, you can avoid accumulating interest.","When you pay in full, finance charges are applied.","When you pay in full, your credit score will go down over time."
MC,,1,"To protect yourself against identity theft, you should",4,write down all of your important passwords on paper.,throw away credit card receipts in public trash cans.,maintain at least six different credit cards in your name.,avoid providing sensitive information via telephone.
