MC,,1,"After being fired from his job, Jack wrote blog posts in which he criticized his former company and all of its employees. He made many negative comments, most of which were untrue. What tort is Jack committing?",3,Battery,Invasion of privacy,Defamation,Negligence
MC,,1,"Patents, trademarks, and copyrights are all methods used to protect",3,houses and apartments.,physical inventions.,intellectual property.,government secrets.
MC,,1,What types of businesses can be owned by thousands of stockholders?,2,General partnerships,Open corporations,Close corporations,Sole proprietorships
MC,,1,A business owner who prefers to maintain complete control of all business activities might consider structuring the venture as a(n),1,sole proprietorship.,general partnership.,"""S"" corporation.",limited liability company.
MC,,1,Channels of distribution benefit businesses by,4,allowing them to avoid all channel tasks.,lowering the prices of all industrial goods.,raising their profits each year.,getting their products to consumers more efficiently.
MC,,1,A farmer with a produce stand in the yard is an example of a __________ distribution channel.,1,producer to consumer,producer to agent to consumer,producer to retailer to consumer,producer to wholesaler to consumer
MC,,1,The best way to evaluate the channel members in an international supply chain is often by using a(n),3,global distribution center.,international monetary fund.,global industry benchmarking system.,international trade center.
MC,,1,"The ultimate purpose of preparing a long, complex, business report is usually to",3,be well-organized.,present all views.,help with major decisions.,present accurate data.
MC,,1,Which of the following is an example of a brand promise:,3,Low credit terms are available for qualified customers until January 2025.,Leather sofas only $499 this weekend—buy now at Fred's Furniture Warehouse.,Henderson Photography…uniquely capturing your special moments is our priority.,"For your convenience, four Cup O' Joe locations are open in the greater metro area."
MC,,1,Which of the following statements is true about a mixed economy:,4,The government is the primary economic decision maker and also regulates individual and,"Individuals are the primary economic decision makers, and businesses control and regulate the","Businesses are the primary economic decision makers, and the government controls the system.","Individuals and businesses are the primary economic decision makers, and the government"
MC,,1,Which of the following is an example of an operating expense for a business:,4,Cost of goods,Employees' withholding,Revenues,Utilities
MC,,1,Economies of scale are highly dependent on average,2,marginal cost.,total cost.,revenue.,marginal revenue.
MC,,1,Which of the following causes the greatest number of cultural sensitivity issues:,1,Communication,Level of comfort with uncertainty,Globalization,Relationships to time and space
MC,,1,"Porter said to the group, ""If we agree to proceed with this plan, the company's profitability will increase substantially. Because the company will be saving a lot of money, we are more likely to receive a higher pay increase next year."" Porter is persuading the group members by",2,expressing empathy.,promoting benefits.,exerting his authority.,arguing on minor points.
MC,,1,"When employees demonstrate adaptability, they are able to be",2,aggressive.,flexible.,honest.,creative.
MC,,1,One reason that an excellent business vision is general rather than specific is that,3,employees must be told exactly what to do.,it must be short term.,everyone in the organization must be able to relate to it.,it must be compelling and energizing.
MC,,1,"Gianna is attempting to build a strategic relationship with Nico, who is an influential member of the local business community. What is one technique Gianna could use to build the relationship?",2,Establishing dominance and control,Finding a shared vision,Seeking a deal as quickly as possible,Focusing on Nico's shortcomings
MC,,1,Which of the following techniques is the best example of leveraging existing business relationships:,4,Deleting negative client reviews,Avoiding meeting new people,Calling clients just to say hello,Sending holiday cards to clients
MC,,1,Which of the following businesses is the best example of an entrepreneurial venture:,2,A juice bar decides to purchase trucks to sell juice on location during special events.,A veterinarian invents and sells a device to prevent horse water troughs from freezing.,A pumpkin farm offers pumpkin carving and costume contests to create more interest.,"A bakery creates a ""cretzel,"" a cross between a crescent and a pretzel, as a new product."
MC,,1,Which of the following attitudes should an entrepreneur have about new technological developments:,3,New technologies should be applied to all business practices.,New technologies are overrated and should be avoided.,The impact of new technologies should always be evaluated.,The benefits of new technologies do not outweigh their high cost.
MC,,1,Which of the following statements regarding international trade is true:,3,Companies shipping internationally must use freight-forwarding services.,Only large companies typically benefit from conducting international trade.,Internet-based companies can easily become involved in international trade.,Foreign language skills are required to conduct international trade.
MC,,1,One factor that an entrepreneur should consider when assessing a venture opportunity is whether it will,3,involve complicated paperwork.,require employee loyalty.,lead to more opportunities.,satisfy vendors' needs.
MC,,1,Which of the following statements about feasibility studies is true:,4,The feasibility study is essentially the written business model.,A feasibility study is not necessary if similar businesses already exist.,Each feasibility study must focus on only one potential business model.,The feasibility study is completed before the business plan is developed.
MC,,1,One-time startup costs often include __________ fees.,4,website maintenance,shipping and postage,trade association,incorporation
MC,,1,Which of the following situations is an example of a social risk that is associated with starting a new business:,3,"When Nigel started his new business, he took out a bank loan and used his home as collateral.","As a new business owner, Cassidy is so worried about failing that she develops an ulcer.",Adam is working 14 hours a day at his new company and is not spending time with friends.,"Julie, a successful businessperson, is willing to quit her job to start a new business."
MC,,1,Evan does not want the legal obligation of repaying a loan and is willing to share profits with others. Which of the following options is Evan most likely to select to fund a new venture:,4,Community bank,Collateral savings,Trade credit,Private equity
MC,,1,Which of the following questions would Allison ask herself when deciding if she should hire an assistant for her growing business:,3,Can I trust this person to get the work done on time?,How will I recruit applicants for the job?,Does the workload require a full-time or part-time employee?,Does this applicant meet my minimal educational requirements?
MC,,1,"Although hiring a highly skilled employee is an added expense, a business owner benefits because the employee's activities increase the firm's overall productivity based on his/her",3,attitude.,self-control.,expertise.,inability.
MC,,1,"Because the MBC Company has one location that services the eastern part of the country and another location that services the western part of the country, the company's work flow is organized by",1,territory.,work teams.,authority.,relationship.
MC,,1,Small-business owners often obtain ideas for new venture opportunities when they,2,analyze their companies' sales reports.,talk with their customers and vendors.,apply for a commercial bank loan.,revise their operating budgets.
MC,,1,"When Deanna, a small-business owner, allocates 6% of her company's profit to product development, she is investing which type of resource:",1,Financial,Fundamental,Strategic,Structural
MC,,1,A car company has decided to invest less in its successful pickup truck and to use those funds instead on the development of its new hybrid vehicle. This is an example of,3,risk mitigation.,a marketing plan.,a harvest strategy.,the discovery process.
MC,,1,Which of the following presents the first three steps in the accounting cycle in the correct order:,2,"Analyze, post, and journalize","Analyze, journalize, and post","Post, analyze and journalize","Post, journalize, and analyze"
MC,,1,"Pete is preparing a cash flow statement for his new business. If the startup costs are $27,645 and he has $36,200 cash, how much cash is available for Pete to operate the business?",3,"$9,125","$7,545","$8,555","$8,265"
MC,,1,Le' Grand Hotel experienced record profits and chose to reinvest those profits back into the hotel for a major remodeling project. Where would these retained earnings be represented on a balance sheet?,4,Under revenue,Under assets,Under contributed capital,Under stockholders' equity
MC,,1,One reason why creditors review a business's income statement is to decide if the business will be able to,4,develop new products.,expand operations.,increase staff.,repay a loan.
MC,,1,"When a business seeks to establish a budget or make major business decisions, what type of accounting does it use?",2,Financial accounting,Managerial accounting,Forensic accounting,Internal auditing
MC,,1,Businesses that obtain credit from banks usually are required to provide acceptable,1,collateral.,technology.,promotion.,compensation.
MC,,1,"A small restaurant wants to expand, but first it needs to raise funds. John wants to raise capital through debt financing, but his partner, Damien, isn't sure that's a good idea. What is one downside of debt financing that Damien could cite to prove his point to John?",2,Shareholders will own part of their business.,They will have to pay interest on the borrowed amount.,They will need to sell stock in their business.,They will be required to repay the money immediately.
MC,,1,Which of the following is an intangible benefit that might be included in a cost-benefit analysis:,4,Increased profits,Decreased expenses,Reduced employee turnover,Increased convenience
MC,,1,The CEO of a medium-sized business asked the top five executives to each prepare a sales forecast for the upcoming year. The forecasts were then averaged together to get the composite forecast. What method of forecasting was used?,1,Jury of executive opinion,Sales force composite,The Delphi technique,Survey of buyer intentions
MC,,1,Which of the following equations should employees know when they are verifying the accuracy of a business's balance sheet:,2,Owner's Equity = Available Cash - Liabilities,Assets = Liabilities + Owner's Equity,Assets = Owner's Equity - Liabilities,Owner's Equity = Liabilities + Available Cash
MC,,1,Which of the following phrases is most likely to be listed in an official job description:,4,"""Possess an associate's degree or higher""",“Have 10-15 years' experience”,“Able to work closely with others”,“Edit company newsletter”
MC,,1,What is a factor that a growing business might consider when determining hiring needs?,3,The business's sampling plan,Type of application required,Employee to customer ratio,Bonuses that customers demand
MC,,1,One of the benefits to the business of an effective employee selection procedure is a(n),3,reduction in the need for orientation.,rapid rate of employee turnover.,appropriate match of employees to jobs.,good supply of employees to train.
MC,,1,What type of information about employees do most businesses maintain in their personnel records?,3,Family history,Political affiliation,Past work experience,Country of origin
MC,,1,"When a supervisor must take disciplinary action, the supervisor should adopt a __________ attitude.",4,stern,critical,wait-and-see,nonjudgmental
MC,,1,"Why is it important for businesses to obtain marketing information about economic conditions, political systems, and technological changes throughout the world?",2,To understand geography,To remain competitive,To import products,To eliminate trade quotas
MC,,1,Businesses need a great deal of information to make effective decisions and solve specific problems. This information is usually obtained through,1,marketing research.,financial management.,observation.,data analysis.
MC,,1,The marketing function that includes creating strategies to attract the target customer to a business is,1,market planning.,pricing.,marketing-information management.,channel management.
MC,,1,"For the strategy of conducting customer surveys, with tactics including contacting customers and tabulating survey results, which of the following is the goal:",1,Improving this year's customer satisfaction by 7% over last year's ratings,Improving this year's telemarketing skills by 7% over last year's skills,Improving this year's proposal writing by 7% over last year's writing,Improving this year's sales training results by 7% over last year's results
MC,,1,A purpose of market identification is to focus the marketer's selling efforts on the __________ market.,3,retail,consumer,target,industrial
MC,,1,"When analyzing market potential, businesses often look at consumer psychographic factors, such as personality characteristics and",4,occupation.,gender.,income.,lifestyles.
MC,,1,Which of the following is a factor that new businesses consider when conducting an analysis of competitors in a specific market:,2,Size and availability of space,Product quality and price,Cost of supplies and equipment,Industry research and training
MC,,1,"One of the objectives in a business's marketing plan is to increase sales by 15% by reaching more customers. What dollar amount is 15% if the business currently has 250 customers who each spend $10,000 per year?",3,"$425,000","$250,000","$375,000","$515,000"
MC,,1,Which of the following is a true statement about information:,2,It is simple to manage.,It is data put into a useful form.,It is the same thing as data.,It has no value for an organization.
MC,,1,Which of the following is a specification that a business might establish for selecting spreadsheet software programs:,3,Regularly organize customer information,Electronically communicate data,Graphically display financial information,Digitally produce marketing data
