MC,,1,Which of the following is a legal concept that affects businesses that operate in foreign countries:,1,Sovereign immunity,Eminent domain,Absolute privilege,Social responsibility
MC,,1,"The ABC Company published an incorrect statement about the quality of the Marston Company's product. As a result, Marston's sales have dramatically decreased. This is an example of a legal tort related to",3,infringement.,privacy.,defamation.,trespassing.
MC,,1,Which of the following is an example of consideration in a contract:,3,Promising to make a gift,Putting the price in writing,Selling an item for $500,Giving away an item worth $500
MC,,1,What federal law prohibits businesses from asking potential employees about their medical history?,4,National Labor Relations Act,Vocational Rehabilitation Act,Fair Labor Standards Act,Americans with Disabilities Act
MC,,1,"Erick and Jacob are college graduates who want to open an accounting firm. However, Erick has a full- time position that he plans to continue but still wants to be a part of this business venture. Which form of business ownership would you recommend to Erick and Jacob?",3,Consolidation,General partnership,Limited partnership,Open corporation
MC,,1,The goal of channels of distribution is to move products from producers to,2,intermediaries.,final consumers.,industrial distributors.,middlemen.
MC,,1,"To build and repair bridges, Campbell Construction Company buys steel beams from Horton Manufacturing. In this situation, Campbell Construction Company is the",2,wholesaler.,industrial user.,producer.,indirect agent.
MC,,1,Which of the following is a criterion that an investment company might use to evaluate the performance of its independent agents:,2,Inventory level,Customer service,Business plan,Operating policy
MC,,1,"When preparing a long, complex report, it is generally a good idea to include a background statement about the purpose of the report in the",2,body of the report.,letter of transmittal.,executive summary.,writer's recommendations.
MC,,1,"When a business publicly pledges to provide all of its customers with quick, courteous service, the company is",3,stating industry policies.,developing a campaign platform.,making a brand promise.,establishing product position.
MC,,1,"In a private enterprise economic system, the interaction of supply and demand primarily determines",3,the extent of pollution.,economic choices.,product prices.,government regulation.
MC,,1,One of the reasons that government's role in business has expanded is that,1,people's attitudes have changed.,products have become very technical.,costs of production have continued to increase.,competition in the marketplace has increased.
MC,,1,"The U.S. government sets aside some of its income from payroll taxes to fund Social Security, which is a program that aims to ensure that elderly and disabled people do not live in poverty. This is an example of",1,a trust fund.,income tax.,the national debt.,defense spending.
MC,,1,Small businesses have a positive effect on the local community because they,2,reduce competition.,pay taxes.,limit job growth.,charge interest.
MC,,1,Which of the following is an example of a businessperson developing cultural sensitivity:,3,Taking a course in ancient history,Practicing oral presentation skills,Learning differences in body language,Studying road maps of various countries
MC,,1,"During a negotiation, each person decides to give up something to reach an agreement. This is often called a",3,dispute.,binding contract.,compromise.,lose-lose situation.
MC,,1,"Communicating effectively, showing a sense of teamwork, and being a good negotiator are all ways to demonstrate which component of emotional intelligence?",1,Social management,Social awareness,Self-management,Self-awareness
MC,,1,Which of the following is not part of the price involved with making a vision into a reality:,3,Time,Money,Aspirations,Effort
MC,,1,Adaptable people commit to their goals and never give up because they have,3,positivity.,attentiveness.,persistence.,a sense of humor.
MC,,1,A major benefit of receiving recognition for your efforts and contributions is that it,2,allows you to relax.,gives you motivation.,helps you learn.,provides a good example.
MC,,1,What is one reason why many people decide to become entrepreneurs?,1,Flexibility,Long hours,Less risk,Less responsibility
MC,,1,Mike is thinking about expanding his manufacturing business internationally. Which of the following is a risk he might encounter:,2,Encountering new markets,Dealing with cultural and language barriers,Dealing with fewer government regulations,Saving money on taxes
MC,,1,Claire needs to determine the feasibility of a new venture idea. What are three factors that Claire should consider when conducting her feasibility study?,1,"The venture's staffing needs, raw material needs, and estimated return on investment","The venture's staffing needs, raw material needs, and past sales","The venture's staffing needs, estimated return on investment, and past sales","The venture's raw material needs, estimated return on investment, and past sales"
MC,,1,What type of planning involves setting short-term goals for a new business venture?,1,Tactical,Strategic,Systematic,Environmental
MC,,1,"Which of the following is an effective, inexpensive external resource that entrepreneurs use to research and develop the venture's concept:",1,The Internet,Marketing research firm,Focus groups,Professional consultants
