MC,,1,"After being fired from his job, Jack wrote blog posts in which he criticized his former company and all of its employees. He made many negative comments, most of which were untrue. What tort is Jack committing?",1,Defamation,Invasion of privacy,Battery,Negligence
MC,,1,An important purpose of regulations in the finance industry is to,1,prevent the banking system from failing.,limit the amount of money individuals can earn.,challenge the integrity of the financial system.,ensure companies are held accountable for product safety.
MC,,1,One benefit of using technology in compliance is that technology is typically more __________ than maintaining manual compliance processes.,2,costly,efficient,time-consuming,error prone
MC,,1,What are import quotas and tariffs designed to do?,4,Eliminate the movement of illegal merchandise,Prevent harmful substances from entering a country,Prevent illegal immigration across national borders,Protect a country's economy from foreign competition
MC,,1,Which of the following is a characteristic of the illegal practice of affinity fraud:,2,Primarily involves buying and selling commodities,Targets identifiable groups of people,Fails to offer testimonials during sales pitches,Pays a minimal dividend to encourage additional investment
MC,,1,Which of the following actions would be considered illegal insider trading:,4,Gaining access to competitors' data,Discussing how a new CEO will affect the company's stock prices with a coworker,Buying the stock of your own company,Selling a company's stock after an employee tells you about its upcoming merger before that
MC,,1,Which of the following is a tax-deductible expense:,1,A computer for a home-based business,Personal phone charges,Athletic-club membership fees,International leisure travel
MC,,1,"Aiden is doing research for a school project. While searching the internet, he finds an article that he thinks may be helpful for his project. Which of the following would indicate that the author of the article is most likely a credible source:",3,The author has included their personal Twitter handle.,There is no background information provided about the author.,The author lists their professional background and qualifications.,The author is currently a student in college.
MC,,1,"Cynthia and Gerald are proposing a new project to their boss. When the boss questions Gerald about something he says, what should Gerald do?",2,Explain to the boss that Cynthia wrote their project proposal,Ask for clarity on the question and make sure he answers it fully,Answer a different question that Gerald definitely knows the answer to,Act defensive because the boss doesn't understand the project
MC,,1,You're giving a presentation at your job about the company's sales figures. You want to show how much profit the company has made in each of the past 12 months. Which visual aid should you choose to show this?,3,A photograph,A pie chart,A line graph,A video
MC,,1,"In addition to his name, address, and phone number, what information should Dwight include in his corporate email signature?",3,"His position, work history, and email address","His work history, company, and email address","His position, company, and email address","His position, company, and references"
MC,,1,Who is responsible for approving corporate governance goals and policies?,3,Shareholders,Chief executive officer,Board of directors,Management team
MC,,1,Which of the following is a result of building and maintaining relationships with customers:,1,Increased loyalty,Fewer brand advocates,Decreased satisfaction,Customer turnover
MC,,1,Are customers who do not complain a more difficult problem for businesses than customers who do complain?,4,"No, because the salesperson can satisfy the customers who do not complain within company","Yes, because records of the complaints cannot be maintained.","No, because customers who do not complain do not express ill feelings.","Yes, because the salesperson does not have an opportunity to handle the complaint."
MC,,1,A primary factor that has led to the consolidation of financial firms is the desire,1,to lower costs.,for fewer assets.,for fewer products.,to lower risks.
MC,,1,"When discussing your personal finances with a financial advisor, it's important to",1,be open and transparent.,exaggerate your income.,keep certain debts secret.,be guarded and skeptical.
MC,,1,"While filing a homeowner's insurance claim, Mrs. Ramirez was accidentally disconnected from the call center representative who was helping her. When Mrs. Ramirez called back, she didn't know whom to ask for, because she couldn't remember the name of the representative who had been assisting her. What type of Customer Relationship Management (CRM) data would be most helpful in identifying the representative?",3,Self-provided data,Demographic data,Interaction data,Historical data
MC,,1,Environmental degradation occurs because of,3,nationalism.,offshoring.,increased production.,decreased competition.
MC,,1,"Nadia's assistant, Roger, rarely does what he's supposed to do. He routinely forgets to schedule her appointments, orders the wrong supplies for her office, and misses work at least a few times a month. An employee like Roger is an example of a(n) __________ risk.",2,hazard,operational,strategic,financial
